name,age
Mr Owen Harris Braund,22
Mrs John Bradley (Florence Briggs Thayer) Cumings,38
Miss Laina Heikkinen,26
Mrs Jacques Heath (Lily May Peel) Futrelle,35
Mr William Henry Allen,35
Mr James Moran,27
Mr Timothy J McCarthy,54
Master Gosta Leonard Palsson,2
Mrs Oscar W (Elisabeth Vilhelmina Berg) Johnson,27
Mrs Nicholas (Adele Achem) Nasser,14
Miss Marguerite Rut Sandstrom,4
Miss Elizabeth Bonnell,58
Mr William Henry Saundercock,20
Mr Anders Johan Andersson,39
Miss Hulda Amanda Adolfina Vestrom,14
Mrs (Mary D Kingcome) Hewlett,55
Master Eugene Rice,2
Mr Charles Eugene Williams,23
Mrs Julius (Emelia Maria Vandemoortele) Vander Planke,31
Mrs Fatima Masselmani,22
Mr Joseph J Fynney,35
Mr Lawrence Beesley,34
Miss Anna McGowan,15
Mr William Thompson Sloper,28
Miss Torborg Danira Palsson,8
Mrs Carl Oscar (Selma Augusta Emilia Johansson) Asplund,38
Mr Farred Chehab Emir,26
Mr Charles Alexander Fortune,19
Miss Ellen O'Dwyer,24
Mr Lalio Todoroff,23
Don Manuel E Uruchurtu,40
Mrs William Augustus (Marie Eugenie) Spencer,48
Miss Mary Agatha Glynn,18
Mr Edward H Wheadon,66
Mr Edgar Joseph Meyer,28
Mr Alexander Oskar Holverson,42
Mr Hanna Mamee,18
Mr Ernest Charles Cann,21
Miss Augusta Maria Vander Planke,18
Miss Jamila Nicola-Yarred,14
Mrs Johan (Johanna Persdotter Larsson) Ahlin,40
Mr William John Robert (Dorothy Ann Wonnacott) Turpin,27
Miss Simonne Marie Anne Andree Laroche,3
Miss Margaret Delia Devaney,19
Mr William John Rogers,30
Mr Denis Lennon,20
Miss Bridget O'Driscoll,27
Mr Youssef Samaan,16
Mrs Josef (Josefine Franchi) Arnold-Franchi,18
Master Juha Niilo Panula,7
